50	130
33	42	45	1701	4
49	19	36	1106	8
12	34	54	1721	8
18	34	52	1745	8
22	31	49	1812	7
49	26	39	994	5
14	36	63	1166	8
30	33	32	1472	8
10	27	41	1730	4
43	15	39	1665	6
9	49	41	1303	6
39	1	53	1557	8
3	11	36	961	8
29	31	51	1018	6
32	3	64	1062	4
19	48	32	1111	8
34	23	37	1319	8
49	45	64	1671	7
8	37	44	1555	6
48	47	44	1790	6
5	43	45	1915	5
44	22	55	1232	8
15	9	34	1480	4
3	5	50	1028	8
5	25	34	1508	5
34	10	56	1182	7
25	7	38	1550	7
9	6	54	1837	8
11	35	33	1712	8
39	6	35	1912	8
49	14	61	1662	6
19	28	56	1110	8
5	19	41	1739	5
43	40	44	1824	7
19	16	49	1613	8
6	34	54	1765	6
33	25	47	1431	5
7	30	33	1300	6
20	19	32	1888	7
6	25	50	960	5
31	12	61	1722	6
30	4	37	1676	7
35	2	58	1816	7
13	42	49	1677	6
24	28	51	1073	8
31	22	35	1347	6
17	14	53	1508	6
25	24	34	1242	4
44	16	50	1573	7
8	27	37	1682	8
0	43	55
0	40	49
0	1	70
1	40	57
1	33	62
1	21	63
1	5	59
2	28	63
2	27	56
2	15	55
2	6	48
2	4	35
3	49	46
3	41	58
3	29	43
3	28	66
3	20	52
3	18	50
3	8	53
3	6	45
3	4	53
4	48	69
4	46	66
4	33	66
4	7	44
5	45	45
5	40	35
5	24	61
5	21	38
5	17	69
6	37	45
6	24	55
6	15	68
6	9	56
7	46	45
7	45	62
7	38	60
7	13	40
8	49	49
8	46	53
8	41	67
8	39	54
8	37	42
8	35	62
8	24	54
8	18	63
8	12	69
9	45	60
9	40	58
9	36	52
9	30	64
9	22	58
10	43	40
10	15	35
11	14	37
12	41	48
12	32	39
12	26	57
13	42	50
13	41	64
13	17	68
13	15	61
14	40	46
14	34	40
15	44	49
16	47	61
16	40	40
16	36	46
16	35	68
16	25	35
18	35	70
18	34	47
18	31	47
18	20	56
19	49	52
20	49	43
20	43	47
20	32	51
20	28	48
22	34	41
23	41	50
24	39	35
24	38	58
24	35	60
25	46	51
25	42	55
25	41	41
25	38	65
25	36	39
26	41	44
26	34	50
26	33	69
26	31	51
27	29	44
28	40	48
28	35	70
28	31	65
29	45	70
29	39	49
29	30	48
30	48	48
31	42	62
31	40	39
31	39	61
31	34	51
32	46	60
32	44	39
33	44	40
34	47	58
34	45	65
34	44	38
34	40	64
34	38	36
35	49	39
35	37	45
36	49	52
36	45	58
36	44	49
36	42	47
37	39	41
38	46	54
39	49	36
39	45	40
39	40	44
40	44	44
40	42	39
42	49	64
44	49	52
44	45	48
46	47	50

